ORI Code,Origin,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
BDI,Burundi,,,,,,3000,250,,,,,,129000,131895,120880,141940,152320,153550,148180,151680,169772,182952,176272,176552,182912,199812,210621,186911,190154,191443,191622,223946,184135,871382,389706,350582,428680,519123,502568,527449,568084,553999,574557,531637,485773,438706,396541,375727,281592,94239,84064,101288,73363,72652
CAM,Cambodia,,,,,,,,,,,,57000,55000,35000,,18830,17200,76710,165120,51100,192843,135077,123398,91115,72468,67518,54848,48589,97758,75725,54364,43168,28851,9753,8538,61225,62244,103246,76576,38320,36855,34759,33456,31407,18121,17806,17965,17704,17253,17025,16314,15205,14024,13748
CMR,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,100,1,83,173,238,2017,2109,2258,1348,1654,2062,2724,5225,6206,7629,9101,10384,11508,13870,14766,14963,15163,13382,11442
CAN,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,8,11,15,18,26,4,51,60,56,122,95,530,101,99,90,109,123,100
CVI,Cape Verde,,,,,,,300,300,430,400,400,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,4,8,9,8,5,40,32,30,24,25,27,25,27
CAY,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6
CAR,Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,15000,,,,230,160,170,310,100,320,325,313,266,242,240,149,173,196,139,28704,25376,35400,31069,42890,71685,98104,125106,159554,164905,162862,164568,252865
CHD,Chad,,,,,,,,,,,1900,1400,1500,1500,,,,,,10000,221000,234260,17010,16744,181346,212158,170078,146858,130790,125864,184806,72319,66381,212932,211971,59727,58445,55025,61298,58797,54962,46294,47349,52275,52663,48400,36300,55722,55105,55014,53733,42640,39694,48644
CHL,Chile,,,,,,,,,,,,,,,13550,15350,2670,3000,3130,3130,1505,1885,2483,1794,1552,2181,2434,1906,608,1201,14548,14007,14043,15267,15474,14273,12805,9776,7011,1543,860,834,1709,1555,1194,938,805,970,994,1312,1170,1189,1152,596
CHI,China,,,,,1200000,1330000,1326810,74000,70000,65000,66000,70000,75000,,,,,,,,24,24,104,24,24,124,154,24,265,413,1426,2011,82576,111509,113907,104693,105810,106738,109402,111952,110975,117409,132115,132406,134724,124101,140598,149095,175180,180558,184602,190369,193453,195137
COL,Colombia,,,,,,,,,,,,,,,,,,,,,,50,100,,,60,50,50,35,66,494,740,843,1042,1363,1902,2168,2377,3538,4413,9279,17938,30625,37995,47381,60450,72796,551744,373532,389753,395577,395949,394117,396635
COI,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,2,2,5,10,13,10,33,31,28,26,43,58,50,61,72,96,378,268,368,422,454,515
COB,Congo,,,,,,,,930,330,,,,,,,110,,,,,6,6,6,6,6,6,6,,,,2,4,7,11,32,177,221,21147,17143,27302,27579,24237,28002,28958,28152,24438,20609,19735,19925,20544,20679,12839,12119,11751
COK,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
COS,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,223,211,139,90,54,76,57,86,98,92,138,178,284,361,354,344,352,331,325,462
ICO,C»te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,13,34,41,98,201,268,360,537,562,773,858,23741,33637,23655,18338,26315,22232,22227,23153,41758,154824,100720,85729
HRV,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168571,151688,76256,245572,310088,349307,338089,353725,335199,290279,274818,230189,215475,119148,93767,100423,97012,76478,65861,62649,62606,49760
CUB,Cuba,,,,,,,,,,14500,16700,54500,17070,,1600,,,,,3560,1693,2703,653,924,1356,1876,686,836,3874,7682,13523,17615,21273,22406,23316,24854,25462,24913,23559,23328,20084,18959,18043,16093,15659,19000,33580,7503,7938,7549,7477,7856,7731,7428
CUW,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
CYP,Cyprus,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,11,11,11,,,,6,9,10,8,11,16,11,5,7,5,2,5,5,9,10,11,13,11,11,10
CZE,Czech Rep.,,,,,,,,,,,70,70,70,60,50,50,,,,,393,389,494,421,456,981,411,385,5649,5790,6123,4491,3327,5015,4648,2039,977,698,1934,1243,810,1179,6984,6702,4542,3589,2138,1384,1358,1067,817,763,622,991
KRN,Dem. People's Rep. of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,11,1,9,13,13,19,259,304,343,288,397,605,886,881,917,1052,1132,1166
COD,Dem. Rep. of the Congo,,,,,58700,47000,74800,78190,67330,54530,51650,43470,43920,43380,39820,39410,44070,264940,151560,70450,116750,118970,92455,101571,94512,86418,96619,69428,103537,100786,67423,65816,81269,74826,73286,89738,158794,173995,158833,255950,371713,392146,421362,453465,462208,430929,401914,370374,367995,455852,476693,491481,509290,499541
DEN,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18,34,33,28,25,25,3,8,10,10,12,12,14,11,10,9,9,9,10
DJB,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,11,38,18068,18095,18101,8142,3219,1879,1910,452,471,522,495,504,486,648,650,622,566,602,640,762
DMA,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,5,6,17,25,30,49,58,56,53,52,52,54,43
DOM,Dominican Rep.,,,,,,,,,,,,,,,,,,,50,,1,1,1,1,1,1,1,,,,,,,1,29,30,29,47,42,45,47,46,83,92,97,67,150,358,318,230,246,250,289,306
ECU,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,40,47,174,206,221,217,512,496,671,653,822,730,727,775,887,1332,1066,1027,852,909,844,707
ARE,Egypt,,,,,,,,,,,,,,,,,,,50,,2,4,5,6,6,7,8,8,14,13,48,97,209,258,502,872,1202,1722,2612,3491,3953,4678,6443,5735,5376,6291,7613,6799,6780,6990,6913,7936,10020,12834
SAL,El Salvador,,,,,,,,,,,,,,,,,,,,,91630,304810,242400,244600,243000,180604,171784,167604,166393,39582,30019,33049,30855,26124,30735,23535,19639,17126,12591,12410,7756,7150,6632,5658,4497,4281,6388,6022,5151,5051,4976,6720,8171,9638
EGU,Equatorial Guinea,,,,,,,,,,,,,,,1000,90000,90000,120000,90000,40000,38001,18001,18001,1,1,1,,,,,,60,114,214,342,343,397,473,420,429,509,529,552,591,552,477,461,407,384,344,305,258,228,200
ERT,Eritrea,,,,,,,,,,,,,,,,,,,,400,542,1542,1585,1385,1385,1385,177,167,133,43,43,500633,503200,427213,422433,286712,332225,319077,346781,347138,376851,333229,318176,124121,131131,144066,193745,208748,186398,209168,222460,251954,285371,308022
EST,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,95,297,351,1310,1266,792,633,455,479,1060,1027,855,743,626,262,248,248,240,224,456,352
ETH,Ethiopia,,,,,,,,28600,31000,31000,54350,55200,44640,46300,49200,91410,105700,655350,887670,1623870,2567998,1363266,1334915,1351917,1546134,1749309,1534548,1487663,1513307,1474919,1345928,251241,313129,251828,226436,100987,96270,84401,70680,71055,66410,58997,61240,62677,63150,65461,74026,59858,63878,62889,68848,70610,74968,77118
FIJ,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19,89,156,222,305,326,301,328,401,731,1072,1087,1281,1379,1685,1828,1868,1892,1851,1579,1317,1112
FIN,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,6,6,5,2,9,7,3,5,6,4,4,6,6,7,7,8
FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,44,61,64,63,78,44,90,110,110,286,82,101,101,87,92,99,100,98
