ORI Code,Origin,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NAM,Namibia,,,,,,,180,230,1330,840,900,900,1000,3410,3420,3970,9020,12930,35760,40580,55620,74520,75170,75112,77552,76916,76966,75726,76591,3704,532,204,15,133,65,13,12,2,1902,701,2308,2297,1302,1293,1314,1226,1203,1128,985,921,1017,1073,1098,1142
NRU,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,,,3,3,3,,,,,
NEP,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,27,44,52,101,186,235,306,902,1231,1416,2065,2647,3364,4189,5108,5889,6854,7612,8112
NET,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,85,96,77,57,29,15,4,30,44,48,159,39,43,46,44,53,64,71,64
NZL,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,8,13,10,10,15,18,20,17
NIC,Nicaragua,,,,,,,,,,,,,,,,,,,144800,16600,960,2500,18970,23520,35020,52650,67550,68540,86565,97700,52618,46789,44275,33052,28591,23938,22820,22494,21389,20573,5071,4399,4050,3983,1822,1463,1828,1900,1537,1478,1431,1468,1531,1538
NGR,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22008,22307,22024,10291,10361,2788,423,514,493,483,834,728,689,655,818,827,796,822,803,819,832,733
NIG,Nigeria,,,,,,,,,51100,2850,,,,,,,,,,,,,,,,1,2,3,13,14,16,23,76,100,592,1939,4754,3059,3999,4441,5742,6084,24572,24428,23892,22128,13253,13904,14169,15609,15642,17141,18021,31664
NIU,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,14
NOR,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,3,4,4,4,3,5,6,5,15,4,3,4,4,7,7,9,13
OMN,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,10,10,11,11,5,5,19,11,18,12,39,43,56,64,63,60,65,26
PAK,Pakistan,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,275,410,486,525,1086,1422,4430,5277,7502,5985,6864,8015,10133,12324,23163,24389,25949,29913,25639,31858,32403,35132,39982,35952,49785,48867
PLW,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1
GAZ,Palestinians,,,,,,,,,,,,,,,,,3200,,,,,,9800,9110,,31642,52704,2004,5014,8041,8521,65177,95343,81474,82564,72768,80215,76821,77524,100602,110640,349161,428782,350568,350617,349673,334142,341237,340016,95201,93323,94150,94918,96044
PAN,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,365,629,640,652,677,486,160,149,122,85,72,67,37,44,30,40,42,75,109,111,105,100,100,107,105
PNG,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2008,808,220,9,8,8,16,18,18,23,31,36,46,70,89,128,174,221
PAR,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,9,14,63,51,44,20,21,18,19,8,31,32,37,44,105,102,101,77,86,91,101,95
PER,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28,256,475,727,1970,4332,5904,6696,6610,7066,7206,6944,6502,6430,5581,4769,4865,6985,7743,7339,6271,5834,5491,5212,4765
PHI,Philippines,,,,,,,,,,,,,,,,,,90000,92000,90000,90000,90000,90000,100000,100000,90000,90000,90000,90000,90000,10,15,46,113,436,516,598,525,45598,45520,45482,45467,45608,412,434,465,886,1552,1354,993,970,952,986,726
POL,Poland,,,,,,,,,,,150,150,140,100,70,60,50,,50,,471,505,775,761,994,1655,1102,1475,23266,23072,25632,21643,14518,13390,35938,19732,12869,7294,1880,1245,865,3191,16712,15211,10677,19641,13513,2915,2391,2059,1764,1815,1640,1429
POR,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,217,213,18,15,23,17,62,55,47,74,25,32,36,31,30,28,32,32
PUE,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,
QAT,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,30,18,19,23,8,1,,8,13,10,11,52,62,71,68,112,95,124,17
KOR,Rep. of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,17,30,42,48,65,75,73,83,245,237,272,268,1335,1188,1104,573,585,514,558,500
MDA,Rep. of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,458,529,5829,5141,2754,2407,2657,3737,10130,11146,11937,12064,11680,4918,5555,5925,6200,6264,6148,2207
ROM,Romania,,,,,,,,,,,100,60,90,90,70,70,,,60,,772,854,1157,1211,962,2201,1024,1890,20247,45978,51282,27177,25118,23572,22278,16978,11871,8951,10921,8558,7348,6052,8847,8387,5916,11502,7234,5306,4756,4358,3934,3428,2807,2329
RUS,Russian Federation,,,,,120,,17970,,,,170,160,150,110,80,70,60,50,50,,10821,11562,11569,11574,11577,11582,10226,8683,33636,68496,117736,155576,213802,243312,251393,207034,173723,198063,172730,28314,40310,45156,91626,96420,107975,103037,159381,93224,103061,109455,111948,109785,110588,74357
RWA,Rwanda,,147000,147000,154000,166300,155900,159600,160230,160100,144930,142050,141630,153650,163595,178260,175720,176410,169780,175110,176540,286651,277011,327951,321761,357111,376521,371911,353441,327539,319501,361322,431240,434736,450462,2257573,1819366,469136,68003,77743,88944,119056,84513,75257,75263,63812,100264,92966,80964,72530,129109,115524,106833,97373,83937
STK,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,31,2,2,4,4,7,9,12,15
LCA,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,5,9,11,9,10,16,34,99,163,227,288,314,334,433,566,710
VCT,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,13,13,24,36,48,67,81,105,181,279,387,646,750,849,946,1127,1316,1535
WES,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,3,2,4,,1,1,1,1
SMA,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,,3,1,1,1,2,2,1,1,2,1,1,1
STP,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,1,1,1,1,30,36,49,43,42,30,25,23,39,42,39,24,32,33,35,33,33,33,32,31
SAU,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,183,260,242,358,362,233,77,35,109,236,214,151,617,753,712,633,667,745,818,584
SEN,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15006,60006,25138,15466,22601,25622,17592,17631,17163,9716,11606,11088,8559,12069,8351,8332,8671,15163,15896,16006,16305,16267,17722,18724,19884
SRB,Serbia (and Kosovo: S/RES/1244 (1999)),,,,,,,,,,130,150,140,130,130,120,120,,,4200,,270,214,177,157,91,91,72,42,99,98,1745,45823,90081,58253,54976,86120,103967,106654,115292,172509,146748,144231,327587,296632,236999,189989,174027,165643,185935,195626,183289,161671,158908,48693
YUG,Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEY,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,51,51,60,69,54,28,553,339,138,33,39,29,23,13,44,38,44,40,61,55,53,49,49,42,29,26
SLE,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,142614,253592,311183,275302,379495,375104,329327,406077,490061,402807,179113,141475,70580,41802,40477,42863,32127,32536,15417,11275,8002,6202,5320
SIN,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,1,1,9,9,19,22,23,25,22,16,39,35,36,39,111,116,109,80,76,67,68,65
SVK,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,26,57,70,143,178,220,191,595,667,619,791,741,342,331,334,158,269,239,323
SVN,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28429,14829,12860,3368,3414,3302,3295,3284,765,858,610,582,155,1760,52,52,39,38,32,34,28
SOL,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,42,54,60,61,27,38,48,52,66,75,72,61,61
SOM,Somalia,,,,,,,,,,,,,,,,110,50,60,90,90,134,34,118,39,639,1830,3142,60162,351993,360309,470174,732594,812195,574617,631426,638698,636985,608094,557959,524613,475655,440134,432316,402336,389314,395553,464038,457356,561155,678309,770154,1077048,1136719,1121738
RSA,South Africa,,,,,,,390,450,740,290,460,850,790,940,1380,1360,2180,2395,3840,7280,24250,24900,28430,34520,38560,38110,33220,26151,24908,17137,14783,11206,9241,9094,1514,488,290,244,188,193,168,123,275,288,272,268,510,474,453,384,380,429,420,423
SSD,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,87009,114467
SPA,Spain,,,,,,,,,,,680,670,650,390,210,140,510,,,,5,3,52,602,62,62,1,60,,,,,,,42,36,218,215,60,53,80,48,58,53,49,49,2444,41,27,34,42,43,52,56
LKA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,160,315,219,3390,7692,208271,209349,128115,91845,114456,107589,109578,122287,114976,116709,124160,122420,133239,122010,114050,108139,116966,134952,137752,145721,141074,136617,132731,123088
STA,Stateless,,,,,,,,,,,,,,,,,,,,,8,29,32,32,1132,45534,42832,37032,36578,37195,38216,38059,34204,28591,27927,26139,23692,23334,7114,11814,6434,7161,14476,13861,14008,12287,11259,13170,14173,15866,16910,18172,19673,20223
SUD,Sudan,,,,13000,20300,81560,115000,120990,175500,170400,172960,171330,128450,13050,11770,11000,10600,10850,10850,10850,10852,5352,5352,31002,180062,180855,132759,253166,347310,438899,523998,196242,267767,393871,405135,445280,475305,364589,390013,485460,494363,489950,508877,606242,730650,693632,686311,523032,419248,368195,387288,500014,568943,649331
SUR,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6601,6620,5921,2545,893,915,817,754,663,491,411,334,237,103,70,51,29,66,63,50,45,25,20,15,17
SWA,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,15,17,20,30,28,16,15,19,5,14,13,22,25,32,32,36,43,65,109
SWE,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25,38,40,41,31,18,5,28,32,29,75,16,16,15,19,25,24,20,17
SWI,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,33,55,77,91,70,61,56,35,12,16,36,31,32,18,19,20,17,15
SYR,Syrian Arab Rep.,,,,,,,,,1200,1200,,,,,,,,,,500,502,504,504,526,529,2599,534,20,881,397,2148,3037,4408,5404,7087,7994,8609,8653,8126,6695,5871,4869,18913,20819,21439,16401,12337,13690,15211,17914,18452,19931,729022,2468369
TJK,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60008,70108,57144,58956,107503,75878,56349,45167,59940,56108,63267,58936,56780,54753,645,894,544,562,577,612,674,661
THA,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,30,35,36,137,211,284,272,295,318,217,94,344,296,319,424,3325,2325,1815,502,356,368,381,222
MCD,The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897,347,12883,13041,12747,1939,2089,2176,12197,8107,5982,5106,8600,7940,8077,7521,7926,7889,7684,7589,1633
TIB,Tibetans,,,,,51000,52000,52000,57180,62730,64140,64560,64110,65680,66840,68000,8200,8300,8400,8500,8600,8700,8800,9800,10800,11800,12800,13800,14800,15800,16800,17800,18800,19800,21132,21164,20035,20037,20506,21229,21040,20968,20720,20631,20039,20040,20198,20184,20170,20079,20080,15082,15068,15000,15065
TMP,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162472,122202,73042,28097,127,221,251,251,6,7,7,8,8,9,10
TOG,Togo,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,6,6,18,106,291060,167871,93155,25593,7187,3506,3692,4016,4354,10448,10614,10819,51107,27332,22502,16750,18378,18330,17871,15693,10347
TON,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,3,1,8,12,5,4,6,5,7,5,6,10,13,18
TRT,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,13,14,16,21,26,25,24,16,35,38,41,63,153,211,231,240,255,297,333,336
TUN,Tunisia,,,,,,,,,,,,,,,,,,,,,2,2,2,5,6,6,6,6,7,9,42,63,86,104,212,333,406,698,932,1240,1207,1368,2543,2563,2518,3129,2845,2507,2349,2260,2174,1952,1935,1371
TUR,Turkey,,,,,,,,,,,,,250,,,,,70,60,60,,,300,540,1040,810,852,1084,150,2764,5508,6452,10089,16768,28873,44866,50354,47341,45019,44012,47155,47090,193704,185098,174574,170567,227232,221939,214378,146387,146794,139779,135372,66607
TKM,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,47,2937,3181,1562,1051,300,310,801,840,812,820,692,678,736,743,738,726,723,517
TCI,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,14,14,15
TUV,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,3,2,2,,,1,1,2
UGA,Uganda,,,,,,,,,,,,,,950,2630,2510,3250,8000,8820,88710,224301,176691,271285,315346,293991,306060,238652,111071,21975,21358,58820,39386,32456,33415,31450,24166,28339,55241,13301,13937,32414,40141,40425,35247,31963,34225,21752,21341,7548,7554,6441,5680,5608,8177
UKR,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,134,915,1701,6107,6348,4596,12236,19312,26716,85265,94148,89579,84228,63723,25985,28424,24522,25111,25379,25256,5172
UAE,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,15,18,31,20,71,30,265,308,256,414,424,486,584,90
GBR,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,108,77,73,79,92,106,113,109,164,149,144,135,174,201,185,156,153,150,153,142
TAN,United Rep. of Tanzania,,,,,,,,,,,,,,,320,,90,300,300,600,301,3001,501,501,501,1,,2000,5,9,8,11,20,32,62,68,65,66,102,118,313,378,580,711,985,1549,1667,1255,1270,1204,1144,1163,1122,1040
USA,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,12,366,245,143,75,51,41,176,219,383,395,451,683,1356,2174,2137,2368,3026,3778,4456,4761
URU,Uruguay,,,,,,,,,,,,,,,3000,570,1160,,,,24,24,525,25,165,537,47,39,32,202,842,601,429,162,362,262,201,89,74,39,51,46,61,57,81,111,163,197,199,188,186,184,171,146
UZB,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29060,143,69747,69069,51729,45533,3628,3458,6881,7391,7288,8323,9102,5663,6308,6669,8840,12664,11593,4965
VAN,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
VEN,Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,135,371,476,557,608,570,556,471,466,526,598,1256,2590,3829,5094,5807,6221,6701,7577,8208,8395
SRV,Viet Nam,,,,,10000,15000,17000,20000,22000,22000,20000,,,,,2110,4000,14380,124210,397290,346928,312548,325343,328399,328095,326617,326668,325717,440379,456936,496029,498323,517111,527627,539101,543541,518340,476795,435437,405377,370758,353224,373741,363179,349780,358268,374279,327776,328183,339289,338698,337829,336939,314105
WIR,Western Irian Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSH,Western Sahara,,,,,,,,,,,,,,,,20000,35000,50000,50000,50000,50000,165000,165000,165000,165000,165000,165000,165000,165000,167190,165000,165000,165000,165000,166493,165000,166328,166099,165967,165868,165810,165910,165884,165729,165731,90652,90614,116594,116530,116474,116415,116413,116452,116504
YEM,Yemen,,,,,,,,,,,,,,,,,,,15000,15000,15001,1,1,1,1,1,100001,70001,77001,77003,8,73,31,39,150,369,1154,1721,1935,2022,2113,1985,1600,1597,1606,1325,1362,1632,1777,1934,2076,2323,2594,2428
ZAM,Zambia,,,,,,,,,15000,13000,9000,750,750,750,4000,750,750,,,1000,1210,1200,1200,1200,,,,,1,1,1,1,1990,1574,16,20,40,63,77,87,98,62,92,100,124,151,203,196,195,206,228,240,243,232
ZIM,Zimbabwe,,,,,,,,,,,,,,,,14720,31220,76520,163160,197640,160,190,,3200,3760,4250,3230,3830,627,3,4,128,9,17,42,36,34,38,42,43,109,257,4030,7162,9568,11251,12782,14374,16841,22449,24089,25048,22101,19681
VAR,Various,1506664,1487067,1443622,1329403,1328259,1529335,1335693,1341171,1300846,1394437,1290370,2045180,1943380,1803895,1822433,1920594,2472611,2178564,1847004,1898392,1589450,1680386,1722228,1857092,1668896,1885131,2355351,2227318,2246249,2434983,2568216,2247608,3118510,2239034,1803198,2166469,1412810,1065784,1070617,1236830,1119372,1099531,289766,320109,351957,187215,246951,194065,190691,186686,167122,145048,132807,109255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
